ID,Fase,Prioridad,Accion,Problema que resuelve,Evidencia,Entregable,Responsable,Dependencias,Coste EUR,Horas,Plazo,KPI principal,Metrica de control,Valor actual,Objetivo 14d,Objetivo 30d,Objetivo 60d,Objetivo 90d,Impacto esperado,Confianza,Regla de decision,Estado
A-101,72h,P0,"Pausar Display y devolver presupuesto a Busqueda; pedir informe de emplazamientos y export semanal","Presupuesto diluido en clics basura de apps; 0 leads desde el 04-08","Ev.10 seccion 3: 2.700 clics a 0,05 EUR y 76 sesiones; Dayvo confirma apps 19-08","Display en pausa + CSV en ads-export",Jesus+Dayvo,Ninguna,0,1,"23-08","Leads/semana de Busqueda","Impresiones Busqueda/dia","0 leads desde 04-08; ~120 impr/dia","1-2 leads","4-6 leads/mes","6-10 leads/mes","8-12 leads/mes","Alto (recupera el 100% del presupuesto util)",Alta,"Correccion no reversible salvo evidencia nueva; si Dayvo se niega imponerla como cliente",Pendiente
A-102,72h,P0,"Verificar importacion GA4-Ads; una unica conversion principal; desmarcar eventos fantasma","Conversiones infladas 2,5x; unica via de conversion sin verificar","Ev.04 seccion 4; D-01","Captura de configuracion + nota en 04_metricas",Jesus+Dayvo,Ninguna,0,"1,5","23-08","Conversiones Ads = leads CRM","Discrepancia Ads vs CRM","5 conversiones vs 2 leads","0 discrepancia","0 discrepancia","0 discrepancia","0 discrepancia","Alto (habilita puja por conversiones futura)",Alta,"Si la importacion no existe crearla ese mismo dia",Pendiente
A-103,72h,P0,"Rescatar leads vivos: toque 3 a Sergio; desenlace de Jose Diaz con Marc; nurturing a descargas de guia","El 100% del pipeline real esta sin trabajar","Ev.10 seccion 2: Sergio 13 dias sin contacto; Jose baja sin motivo","3 contactos + notas en CRM",Jesus+Marc,Ninguna,0,2,"22-08","Leads vivos con toque <48h","Respuestas obtenidas","0% del pipeline trabajado","100%","100% sostenido","100%","100%","Alto (unico ingreso posible a corto plazo)",Alta,"Si Sergio no responde al toque 3 aplicar secuencia D7-D14 y pasar a nurturing",Pendiente
A-104,72h,P0,"Apps Script: EXPECT_TRAFFIC=true; fix bajas por subcadena; repegar .gs; verificar triggers","Alerta de sequia apagada y riesgo de bajas falsas automaticas","Ev.02 hallazgos 5.1 y 5.5","GS desplegado + captura de triggers",Jesus,Ninguna,0,2,"23-08","Alerta de sequia operativa","Falsos positivos de baja","Alerta OFF; bug activo","ON y sin falsos positivos","ON","ON","ON","Medio (protege el pipeline)",Alta,"Ninguna baja automatica sin confirmacion manual",Pendiente
A-105,72h,P0,"Web (1 deploy): hero honesto (quitar lista para alquilar / 30.000 / 36 meses) + bloque identidad con licencia RERA 16084 enlazada; congelar 14 dias","Deficit de confianza (P1) y promesa sin respaldo (P2)","Ev.01 seccion 1.1 y hallazgo 4; Ev.09 secciones 2 y 8","Deploy unico + congelacion hasta 03-09",Jesus,Ninguna,0,4,"23-08","Conversion clic a lead","Tier de los leads","~0,4-0,8%","Serie limpia iniciada",">=1,2%",">=1,5%",">=1,5%","Alto",Alta,"E-02: si <0,6% tras 300 clics revisar hipotesis de confianza",Pendiente
A-106,72h,P0,"Contrato: reenvio formal a marc@ y rakesh@rnr-realestate.com con peticion de acuse; re-derivar 3 leads por clausula 2.a; archivar PDF contrafirmado","6 de 7 proyectos sin comision; derivaciones sin valor probatorio","Ev.06 secciones 2-4","Email + 3 derivaciones formales + PDF en LEGAL",Jesus,Ninguna,0,2,"22-08","Acuse de RRS recibido","Dias sin respuesta","24 dias sin respuesta","Acuse recibido","Anexos en firma","Anexo I firmado o 2o partner activado","Contrato completo archivado","Alto (protege todo el ingreso)",Alta,"Sin acuse a 05-09: escalar a Rakesh y activar M32",Pendiente
A-107,72h,P0,"Limpiar CRM: pruebas internas a descartado-test; motivo de perdida en Jose Diaz","CRM contaminado (6 de 9 registros son pruebas)","Ev.10 seccion 1","CRM limpio",Jesus,Ninguna,0,"0,5","22-08","Registros reales = leads reales","n/a","6 pruebas como activo-A","Limpio","Limpio","Limpio","Limpio","Medio",Alta,"n/a",Pendiente
A-108,72h,P0,"Instaurar registro semanal en 04_metricas + volcar consent_decision de GA4","Nueva linea base sin un solo dato registrado; tasa de consentimiento desconocida","Ev.04 H5 y H7; D-06","Primera fila de la serie + dato de consentimiento",Jesus,A-101,0,1,"23-08","Semanas con registro completo","Huecos en la serie","0 registros desde 09-08","2/2","4/4","8/8","12/12","Medio (habilita toda decision futura)",Alta,"Si falta una semana el viernes es bloqueo de la revision semanal",Pendiente
A-201,4-14,P0,"Guardian v2: alertar leads activos sin contacto 24/48h y toques vencidos","Sin red de seguimiento tras el acuse automatico","Ev.02 hallazgo 5.2; caso Sergio","Guardian desplegado",Jesus,A-104,0,4,"03-09","% leads contactados <24h","Alertas ignoradas","No medido; Sergio 13 dias",">=90%",">=90%",">=95%",">=95%","Alto",Alta,"Cada alerta sin actuar en 24h se registra como incidencia",Pendiente
A-202,4-14,P1,"Pagina /gracias.html con URL propia + Calendly con UTM","Sin conversion de respaldo ni atribucion de llamadas","Ev.01 P8 y P10","Pagina en produccion (deploy 03-09)",Jesus,A-105 (fin congelacion),0,3,"03-09","Conversion de respaldo activa","Reservas Calendly atribuidas","0","Activa","100% reservas atribuidas","100%","100%","Medio",Alta,"n/a",Pendiente
A-203,4-14,P1,"WhatsApp coherente: enlace directo en home (sin modal) con tracking; lead WA a tier B","Canal instantaneo con friccion maxima; usuario urgente tratado como frio","Ev.01 P6; Ev.02 hallazgo 5.8","Canal unificado (deploy 03-09)",Jesus,A-105,0,2,"03-09","Conversaciones WA iniciadas/semana","Leads con datos capturados en chat","~0 (modal)",">=3x clics del modal",">=5/semana",">=8/semana",">=10/semana","Medio-alto",Media,"E-06: si spam inmanejable reponer captura ligera de 1 campo",Pendiente
A-204,4-14,P0,"Validar volumen Mexico/LATAM en el Planificador y decidir test","Palanca de volumen num.1 sin ejecutar desde el 30-07","Ev.03 tarea ADS-GEO; D-10","Nota de decision con volumenes",Jesus+Dayvo,Ninguna,0,1,"26-08","Decision tomada","n/a","Sin validar 3 semanas","Decidido","Test activo si procede","Consolidado o descartado","n/a","Alto si hay volumen",Alta,"Si volumen >3x Espana: test A-303 obligatorio",Pendiente
