url,tipo,intencion,etapa_funnel,keyword_objetivo,ubicacion,estado_indexacion,prioridad,accion_recomendada,riesgo
https://www.horizonteemirates.com/proyectos.html,producto,transaccional,bofu,pisos en Dubai para invertir; apartamentos Abu Dhabi inversión,Dubai; Abu Dhabi; Ras Al Khaimah,index,alto,"HECHO: width/height en las 33 imagenes, title a 56, meta a 139, enlace entrante desde los 16 articulos. PENDIENTE: h3 propio por ficha (P2.3) y URL propia por proyecto (P3.2)",bajo
https://www.horizonteemirates.com/blog/como-invertir-inmuebles-dubai.html,blog,informacional,tofu,cómo invertir en inmuebles en Dubai,Dubai,index,alto,"HECHO: title a 60, meta a 131, enlace a proyectos y a no-residente. PENDIENTE: author Person, enlaces a DLD y RERA, refrescar dateModified (P1.1, P1.2, P2.2)",bajo
https://www.horizonteemirates.com/blog/impuestos-invertir-dubai-espana.html,blog,informacional,mofu,impuestos invertir en Dubai desde España,global,index,alto,"PENDIENTE (YMYL fiscal, prioridad 2 de P1.2): enlazar el Convenio de Doble Imposicion Espana-EAU en el BOE y la ficha de la AEAT; author Person con credenciales",medio (dato fiscal sin fuente enlazada)
https://www.horizonteemirates.com/blog/rentabilidad-inmobiliaria-dubai.html,blog,informacional,mofu,rentabilidad inmobiliaria Dubai; yields Dubai por zona,Dubai,index,alto,"PENDIENTE (prioridad 3 de P1.2): las cifras de yield estan en el bloque 'Fuentes y metodologia' pero sin enlace ni fecha del dato. Enlazar DLD, Property Monitor o Bayut y refrescar al tercer trimestre de 2026",medio (dato de mercado sin fechar)
https://www.horizonteemirates.com/blog/modelo-720-declarar-inmueble-dubai.html,blog,informacional,mofu,modelo 720 inmueble Dubai,global,index,alto,"PENDIENTE (prioridad 1 de P1.2, el mas sensible): enlazar la sede electronica de la AEAT y la orden del modelo; revisar el umbral de 50.000 EUR y fechar la revision",alto (dato fiscal sin fuente en contenido YMYL)
https://www.horizonteemirates.com/,home,comercial,mofu,invertir en Dubai; invertir en inmuebles en Dubai desde España,global,index,medio,"HECHO: title a 51. PENDIENTE: Person (Jesus Ibanez) con sameAs en el RealEstateAgent, mas telephone y address (P1.1)",bajo
https://www.horizonteemirates.com/blog/mejores-zonas-invertir-dubai.html,blog,informacional,mofu,mejores zonas para invertir en Dubai,Dubai,index,medio,HECHO: enlace a proyectos y a Abu Dhabi. PENDIENTE: el mapa sigue pesando 399 KB (no admitia recompresion sin redimensionar); enlazar cada zona a su ficha de proyecto,bajo
https://www.horizonteemirates.com/blog/golden-visa-emiratos-guia.html,blog,informacional,mofu,golden visa Emiratos; golden visa Dubai requisitos,global,index,medio,PENDIENTE (prioridad 4 de P1.2): enlazar u.ae o ICP para los umbrales de inversion y fechar la ultima verificacion normativa,medio (normativa cambiante)
https://www.horizonteemirates.com/blog/residencia-fiscal-emiratos-espanoles.html,blog,informacional,mofu,residencia fiscal Emiratos para españoles,global,index,medio,"HECHO: meta de 210 a 122, la mas larga del sitio. PENDIENTE: autor identificable y fuentes enlazadas (P1.1, P1.2)",bajo
https://www.horizonteemirates.com/blog/invertir-abu-dhabi.html,blog,informacional,mofu,invertir en Abu Dhabi,Abu Dhabi,index,medio,"HECHO: de 0 a 2 enlaces contextuales entrantes, title a 51. PENDIENTE: sigue siendo el articulo mas corto (932 palabras), ampliar a 1.500 (P2.2)",bajo
